review_id,platform,rating,review_text,date,source
GP-0016,Google Play,1,"In my experience Grow is a super scammer and worst platform I had ever seen. Initially the brockers are as same as match fixers. But Grow's interface is worst. A lot of manipulation I found when u put an market order or to square off on market price. It's toooooo much difficult to earn money through using this platform. Grow is a ever hated platform for me. Infact I decided to close this account for ever. It's a scammer' academy, don't forget.",2026-07-24,Google Play Store
GP-0017,Google Play,1,"Every time I use Groww, I face this issue. Today I made a ₹75 intraday profit, but ₹53 was blocked for fees! Even with larger capital, I sometimes get charged ₹300-₹350 in a single day. Between brokerage and taxes, the platform eats up my profits, making active retail trading completely unviable. Other apps are much better and more transparent. I do not recommend Groww for active intraday trading.",2026-08-07,Google Play Store
GP-0018,Google Play,4,"Your app is really good, but it is lacking international markets. I want to invest in American and Japanese stocks as well. There is no AI in your app, which is a must have feature. AI would provide different options strategies, detailed analysis of stocks, and company earnings analysis. Nowadays, I have stopped reading earnings reports and rely on AI for that. Also, please add AI alerts for stocks that give instant notifications about any news regarding a stock.Include Multibagger screener ^_^",2026-06-26,Google Play Store
GP-0019,Google Play,1,👏,2026-07-10,Google Play Store
GP-0020,Google Play,1,"This App is a Scam specially when you buy positions using MTF. They will square off your position even when wallet balance is positive, they will put your balance into Negative without any reason. They squared off my position for which i paid 100 % as hair cut keeps changing but after squaring off my position they put my wallet into Negative which was positive earlier then where did the money go after squaring off positions. Indmoney is a far better app than this they never do such things.",2026-07-03,Google Play Store
GP-0021,Google Play,5,"Been using Groww for over a year now and it's easily the simplest investing app I've tried. Signing up took minutes, the interface is clean, and tracking my SIPs and stocks in one place is effortless. No confusing jargon. Highly recommend for beginners.",2026-08-01,Google Play Store
GP-0022,Google Play,1,I don't have an option to select less than this feedback. 1.Lack of commitment what they are promoting recently I referred one of friend or colleague to Groww and expected referral ...nothing observed raised ticket...team mentioned that Now Groww stopped referral ? I am not sure is this ethical and transparency where as still referral and invite section active and not displayed any message such as offer is discontinued... 2. Customer care is pathetic and they respond whenever they feel 2respond,2026-08-11,Google Play Store
GP-0023,Google Play,5,"Now after these many years, and some disappointment in the early stages, I can say that Groww has improved a lot and has been really really great at judging what users need. Good work. Now if possible roll out some program where people can choose a different brokerage plan rather than this flat brokerage system so that higher volume and frequency traders get some advantage.",2026-08-03,Google Play Store
GP-0024,Google Play,1,"Outdated Data Alert!Wrong Dividend Yield DisplayedGroww is showing backdated & misleading financial data post corporate actions. For example, Angel One underwent a 10:1 stock split, making its actual dividend yield ~1.38%. But Groww still shows a wrong yield of 8%!Such unadjusted, old data can lead to wrong financial decisions for retail investors. Other apps update data instantly. Groww team, fix your backend data sync immediately! Retailers, please double-check data on NSE/BSE before investing",2026-08-07,Google Play Store
GP-0025,Google Play,2,😡😡😡,2026-08-03,Google Play Store
GP-0026,Google Play,2,"When investing in mutual funds there is an option to app the fund to your cart, but there is no way to access the cart after the find is added to it. They should hire a good UI/UX guy to help design the app better.",2026-07-25,Google Play Store
GP-0027,Google Play,1,"Very disappointing experience. I have been trying to transfer stocks from my Groww account for a long time, but the process is unnecessarily complicated and confusing. Even after completing CDSL Easiest registration and all required steps, the transfer still doesn't work smoothly. In contrast, Angel One offers a simple in-app stock transfer process. Groww should improve this feature and provide a more user-friendly experience.",2026-07-28,Google Play Store
GP-0028,Google Play,1,"Highly misleading fees. Groww's marketing implies ""zero brokerage,"" but that's false for active traders. My recent statement had ₹4,466 in total charges—and a staggering ₹2,076 was pure ""Groww Brokerage,"" plus ₹693 in DP/MIS fees. More than half the fees went directly to Groww, not the government! Their ₹20/order fee eats your profits alive. I strongly advise against using this for intraday.",2026-08-13,Google Play Store
GP-0029,Google Play,1,"Very disappointed with Groww's customer support. I had only 30 IPO shares, but the support team incorrectly claimed that I had sold 60 shares. This is completely wrong and shows that they did not even verify my account details before responding. Because of this incorrect information, they rejected my complaint instead of properly investigating the issue. I expected accurate records and fair support, but the response was careless and unprofessional. I have lost trust in Groww's customer servic",2026-07-31,Google Play Store
GP-0030,Google Play,2,"Recent update of stocks should be included, as it's very useful for them who're not frequently updated for information or recent developments. Detailed development of particular stocks should regularly updated and easily accessible like quaterly results, changes in shareholding pattern, block deals or partnerships etc. Customer support is of very poor quality, they're not able to answer exactly what I was asking for.",2026-05-30,Google Play Store
GP-0031,Google Play,1,"I have been investing in mutual funds through Groww, but my experience has been disappointing. When I tried to withdraw my money, I never received the OTP required for verification. Despite multiple follow-ups, the issue was not resolved, and customer support was not helpful. Please ensure your registered mobile number and email are updated before investing. I hope Groww improves its support for customers facing such critical issues.",2026-07-14,Google Play Store
GP-0032,Google Play,2,"""Disappointed with the order execution speed. There is a consistent price gap of ₹2-₹3 between the price I order at and the price I get. This frequent slippage is directly causing bigger losses, and it has occurred around 5-6 times already. For option/intraday traders, this latency is unacceptable. Please fix this bug.""",2026-05-31,Google Play Store
GP-0033,Google Play,1,This application bluffing with customer. The application hang when price movement is more or not able to see the correct price some times it's shows like it's not executed but actuall it's executed today HCL movement is 1.51 / but in grow it's showing 2.66 percent ...,2026-07-17,Google Play Store
GP-0034,Google Play,5,"Great app with a clean and user-friendly interface. It makes investing simple and easy to understand, even for beginners. The account setup is smooth, transactions are fast, and the educational resources are very helpful. Overall, it's a reliable platform for managing investments. Highly recommended!",2026-07-28,Google Play Store
GP-0035,Google Play,1,For two days this app has been showing an error while opening the chart and they want you to buy and sell without watching the chart..I have done every possible thing from my side and am still showing an error..even dabba trading broker apps are better than this cheap groww and this is not for the first time something wrong happened with this app.. highly recommend to uninstall this as soon as possible and use some standard broker instead of this.,2026-08-08,Google Play Store
GP-0036,Google Play,3,⭐,2026-06-18,Google Play Store
GP-0037,Google Play,1,"Keeps sending stupid notifications constantly showing stocks in portfolio down or up by 2%, sometimes when they are not. Need to keep notifications on for the stock alerts I have put. Will edit the rating once this is resolved. Otherwise everything in the app is great.",2026-06-03,Google Play Store
GP-0038,Google Play,1,The app is full of glitches lately.Unable to withdraw and add money during market crashes.Ipo status are not updating properly and mandates are not coming to upi once application is placed. Sometimes the watchlist also doesn't appear properly.,2026-07-15,Google Play Store
GP-0039,Google Play,5,"App and it's features are amazing. The only thing missing is other brokers allow to clone app like angel one, zerodha benefit is one doesn't have to log out and log in everytime.I request you to plz allow clone of groww app so one track investment and trading without multiple log in and log out",2026-08-09,Google Play Store
GP-0040,Google Play,1,"Fix the bugs, the nifty prices are shown different in different time frames and lots of lagging like 15-20 second I have to wait every time for loading the charts for last month after the recent update... so team Groww please fix these problems. thank you",2026-07-30,Google Play Store
GP-0041,Google Play,5,"Best and simplest app for investment! The user interface is very clean and easy to understand. There is no complicated financial language, which makes it perfect for common people. Anyone can start investing in Mutual Funds or Stocks without any confusion. Highly recommended",2026-08-07,Google Play Store
GP-0042,Google Play,4,"I've had a good overall experience with the Groww app, but there's one area that needs improvement. Some information is not presented in a clear order, especially the shareholding pattern and quarterly financial data. The current layout can be confusing and makes it difficult to quickly understand the latest updates and compare past quarters. A better-organized and more intuitive presentation of financial information would make the app much more useful for investors.",2026-07-29,Google Play Store
GP-0043,Google Play,5,"Latest update of adding family accounts is very good, please add also an option to track or view family dashboard which shows combined value of all the portfolios. It'll be the best feature",2026-08-03,Google Play Store
GP-0044,Google Play,1,"The bond investment experience on Groww is currently the worst I've seen compared to other platforms. It feels like the feature was added just for the sake of it, completely lacking critical tracking insights. For any invested bond, there is no clear breakdown of the invested amount, the repayment schedule, or the exact dates payouts will reflect in my account. Furthermore, the holdings section doesn't accurately reflect the actual amount in my portfolio analysis Stop adding half-baked feature",2026-06-20,Google Play Store
GP-0045,Google Play,3,"I really like this app. It is very user-friendly, simple, and easy to use. However, there are a few improvements needed. The watchlist should show entry price, current price, and % gain/loss so long-term tracking becomes meaningful. It should also show stock split details with an info icon, including date and ratio, to avoid confusion. Adding a whale indicator and AI-based insights for historical data and stock movements would make the app much more powerful and useful for investors.",2026-06-29,Google Play Store
GP-0046,Google Play,3,"I am disappointed with the Groww app's referral program. I referred the app to others expecting to receive the promised rewards, but I did not receive any. This has been a frustrating experience and has reduced my trust in the referral system. I hope Groww improves the transparency of its referral program and ensures that eligible users receive their rewards on time.",2026-07-17,Google Play Store
GP-0047,Google Play,1,If there is an option of giving zero stars for it I would have given it. The customer care service is very poor i have asked for a status update on the IPO I had no reply and all is automated. Very bad service very disappointed definitely going to uninstall this app,2026-07-18,Google Play Store
GP-0048,Google Play,1,"Withdrawal has been pending for too long. This is unacceptable. Please resolve this immediately."" ""Very disappointing experience. Depositing money is instant, but withdrawals don't work. Fix this issue ASAP."" ""Unable to withdraw my own money. This is extremely frustrating and unacceptable. Please resolve it immediately."" ""Worst experience. My withdrawal is stuck without any proper explanation. Customers deserve better service."" ""If you can accept deposits instantly, you should process withdrawal",2026-07-13,Google Play Store
GP-0049,Google Play,1,"There is a problem with the app, upi is not working. When I click on upi, it says ""UPI is not available on your device To continue securely, disconnect the USB connection to proceed."" even though there is no usb connected. Restart, reinstall, clear data & checked developer options",2026-08-05,Google Play Store
GP-0050,Google Play,5,👍👍👍👍,2026-08-02,Google Play Store
GP-0051,Google Play,1,"This application lag a lot. You always book loss without any delay but when it comes to profit, application will not work, untill your profit are gone. not good platform for scaplers.",2026-07-24,Google Play Store
GP-0052,Google Play,1,I come to this app for less brokarege but the brokerage is higher than other platforms even more than standard bank platforms. they tell lie to deduct only 20rs but they deducts other hidden additional charges besides taxes. and its a buggy app. I am closing this account and will open in other platform.,2026-06-23,Google Play Store
GP-0053,Google Play,1,Worst app for trading. You set the sell target at 100 with profit and it will automatically execute it at 95 and bear loss. you will set buy at 100 and it will automatically trigger at 105 again bear loss. Next if u set the buy at the limit then it will never execute your order and wait till dead.,2026-06-12,Google Play Store
GP-0054,Google Play,1,they are say less brokerage charge more very bad experience and also when you sell your stock at market they your stock at less price . it's much better I give year subscription fees to zerodha. they atlest to not charge unnecessary. I donot know what kind of external charges and tax they are taking,2026-08-06,Google Play Store
GP-0055,Google Play,1,"Grow charges maximum brokerage in the market and provides poor services , their app doesn't publish reports on time , app crashes in peak time and their customer support is really poor. ticket number submitted for this [REDACTED_ID]",2026-08-09,Google Play Store
GP-0056,Google Play,1,"Very disappointing experience from groww! I activated DDPI but the Activate using Aadhar option was separated it didn't show the fee that was applicable, Now 118 rupees are deducted from my funds and when I raised a request and emailed them to cancel my request for activation of Ddpi and refund my money They said it's not refundable even when the ddpi has not been activated yet. Worst experience.",2026-07-14,Google Play Store
GP-0057,Google Play,5,😊❤,2026-08-06,Google Play Store
GP-0058,Google Play,2,"App is fast, but difficult to understand. Watch list is for quick view but getting is difficult, 3 taps. Default tab option is not present",2026-08-11,Google Play Store
GP-0059,Google Play,1,😭😔,2026-08-08,Google Play Store
GP-0060,Google Play,5,"in this app, I feel a problem because there is no automatic system for them colour change, day time and night time when other apps like angel, upstox etc. has automatic system for them colour change, so please consider it.",2026-08-11,Google Play Store
GP-0061,Google Play,1,"They are charging too much, and many times they deduct amounts unexpectedly. For example, I lost ₹600 in one trade out of my ₹3,500 capital. However, after the position was exited, only ₹800 remained in my account, and around ₹2,900 was deducted. Why did this happen?",2026-06-25,Google Play Store
GP-0062,Google Play,1,Very inconvenient. Adding nominee is mandatory (even when it is not mandatory anywhere else in the India). AND I have to pay ₹50 to just change my account email address! Worst app I've ever invested my time and energy into. Useless. I'm closing my account with them will never reuse.,2026-07-13,Google Play Store
GP-0063,Google Play,1,when you buy a share it is buying of your selected rate. but when you want to sell your it is sold less than your selected rate.due to this and also added brokarage+ tax+GST+external charge you never earn money as you expect.,2026-08-07,Google Play Store
GP-0064,Google Play,2,"Badass , too much hang , pause while trading, I'm using this, app since 4 years, never give bad reviews, thought it will work better in future, but no it's get lagging more , no help , no support.",2026-07-28,Google Play Store
GP-0065,Google Play,1,"Absolutely terrible trading app. Customer support is useless, the fees are unpredictable, and the app conveniently starts glitching right in the middle of trades. Every time there's a chance to book profit, something suddenly stops working. It honestly feels like the platform is designed to make sure users never actually make money. And the worst part.. Their customer support somehow manages to make the whole experience even more frustrating.",2026-05-29,Google Play Store
GP-0066,Google Play,3,"Please add an auto-save or chart layout save option for TradingView charts. Currently, trendlines, support, and resistance lines disappear after closing the chart or restarting the app. Other platforms like Upstox support auto-saving drawings smoothly. Please fix this in the next update!",2026-07-24,Google Play Store
GP-0067,Google Play,1,"I have used Groww for almost 4 years and traded F&O for 3 years. My concern is that the live P&L often seems delayed when a trade moves in my favor, while losses appear immediately. I have also faced repeated issues withdrawing funds when trying to stop trading, with messages saying my bank was not accepting the transaction. Customer support did not satisfactorily address my concerns. This review reflects my personal experience and has reduced my confidence in the platform.",2026-06-05,Google Play Store
GP-0068,Google Play,1,"Hi Team, I started opening my Groww account 20 days ago, but I am still unable to log in. The app shows ""Your Journey reset is in progress"" every time. Kindly check my account status and help resolve this issue as soon as possible.",2026-06-21,Google Play Store
GP-0069,Google Play,1,"No stability. They change layout at will which affect trading flow. Fno section's layout has been changed which has made it more difficult and cluttered to execute trades on top of it it's glitchy. can't believe an app with do many subscribers can do such a poor job and can be so glitchy especially an app which deals with trading. when their customer care was approached the only answer they had was ""sorry for inconvenience"".",2026-05-29,Google Play Store
GP-0070,Google Play,1,"I am not been able to see my open position ,I belive there is some glich in this as this is second time i am facing the same issue. I can see the order executed in order book but in Position window there is no showing.",2026-07-30,Google Play Store
GP-0071,Google Play,3,"I found on my app that in profit and loss section my profit was added in charges and a share purchased by me was not shown in profit and loss section in reports . after contacting to the customer care, till now it has not changed.",2026-07-20,Google Play Store
GP-0072,Google Play,5,💐🤍,2026-07-22,Google Play Store
GP-0073,Google Play,5,"Groww is one of the most beginner-friendly Android investment apps I’ve used. The interface is clean, SIP setup for mutual funds is simple, and buying stocks/ETFs is straightforward. Portfolio tracking across investments is convenient, and onboarding is mostly digital. The trade-off is that research tools and advanced trading features are not as deep as specialized trading platforms. For long-term investors and first-time users, it’s an excellent choice.",2026-06-11,Google Play Store
GP-0074,Google Play,3,"Please use 1 lot as the default value. Currently, I noticed that if I buy 3 lots, then the next time I buy any Nifty option, it sets the lot size to 3 lots. Suggestions - A) Setting up multiple SL & TGT on the same trade is very non-intuitive. Hope the developer is simplifying it. B) Why can't we have a drag SL and TGT option when trading intraday stocks, like in NIFTY option trading? Edit: Badly need a single page where multiple SL and TGT can be set for a position at once like lemonn app.",2026-07-14,Google Play Store
GP-0075,Google Play,1,"It's a most worst application now a days. Today morning tried to sell a stock but failed and refreshing refreshing and refreshing.....when it is done the stock's profit value turned to loss. tried to call to the customer care but they are always like press 1, 2 , 3 ..... worst service. That's why rating changed to one star.",2026-07-16,Google Play Store
GP-0076,Google Play,5,"Best app ever, and then you introduced select portfolio option it's much needed function for me, Thank You ☺, one request please introduce same Function also for mutual fund portfolio.",2026-08-11,Google Play Store
GP-0077,Google Play,1,"I have been investing in mutual funds for the last year. A few months ago, I took a loan against my mutual fund through Groww. I borrowed 10k and repaid it within a week, but they charged more than 1.1k. They did not provide any proper document or report explaining the charges. When I tried calling their helpline, there was no response. They even charge fees for updating personal details. I'm not sure what other charges they may apply in the future.",2026-06-05,Google Play Store
GP-0078,Google Play,5,"It's a great platform for mutual funds and daily trading with lower brokerage fees than most competitors. The app interface is intuitive, making it easy to get comfortable with quickly, and regular updates keep it running smoothly. It really ensures you get the best experience possible.",2026-08-01,Google Play Store
GP-0079,Google Play,1,"If you're an F&O trader, stay away from this app. Tracking errors cause real financial losses, and they hit you with hidden charges that increase without notice. Stick to a more reliable broker.",2026-07-27,Google Play Store
GP-0080,Google Play,1,"Unfortunately I selected prime Verdict option in mutual fund. With this option we have to pay additional commission of 1% to groww, it will reduce the return. I don't have option go back to direct. I am planning to reedem from grow and put in coin.",2026-07-15,Google Play Store
GP-0081,Google Play,1,The withdrawal process is very slow and also very worst customer service. The period of withdrawal took nearly 7-8 days. This is very disappointing.,2026-08-04,Google Play Store
GP-0082,Google Play,5,"The app interface is simple and easy. Thanks groww team. Please introduce a feature that in grow watchlist when I open chart of individual stock, a feature must be provided to change directly stock chart within the watchlist for All stocks added in watchlist like kite App . Please introduce this feature it must be very helpful to all groww users definitely. Thank you.",2026-08-04,Google Play Store
GP-0083,Google Play,1,"The stability and usability of app is decreasing on each update. Last session I could see some stocks listed twice in All stocks section. And further you are forcing me to use groww pay, by making it default screen that opens when I open your app. Groww today is not something I liked sometime back. Maybe with some more updates, you will force us to switch to other investment platforms.",2026-08-08,Google Play Store
GP-0084,Google Play,1,😡😡😡,2026-08-06,Google Play Store
GP-0085,Google Play,5,UI preference for me . it's great and very easy for a beginner. I understand it's not that helpful in F&O but I have been using this app for the last 5 years and I am very optimistic that they will enhance their product.,2026-07-27,Google Play Store
GP-0086,Google Play,5,🙌😎✨,2026-07-29,Google Play Store
GP-0087,Google Play,2,after updating lots of anomaly. when we buy option it does not appear in position directly. limit order buy and target gets failed or execute at different level,2026-08-06,Google Play Store
GP-0088,Google Play,1,pathetic customer service. I exit one trade today at 3:05 PM that trade is showing again in buy order even though not initiated by me seems to be an system error and amount got debited for the same. no reply from support till yet,2026-08-07,Google Play Store
GP-0089,Google Play,5,👌,2026-07-30,Google Play Store
GP-0090,Google Play,3,"When i updated the app to version 18.14.1, the most important feature of Scalper Mode disappeared and i am not able to do scalping from the new version now. What type of update is this ?? Please make the ""Scalper Mode"" available again",2026-08-06,Google Play Store
GP-0091,Google Play,1,"Bond Name: Akara Capital Advisors Private Limited (Jan'27) Investment Date: 08 May 2026 Invested Amount: ₹6,100.03 (1 Unit) According to my payout schedule, the total returns (Principal + Interest) I will receive amount to only ₹3,967.08, whereas my invested amount was ₹6,100.03. This shows a massive shortfall/loss, and I was not clearly informed about this secondary market pricing structure at the time of purchase. Please review this transaction, explain the reason behind this heavy variance, a",2026-08-07,Google Play Store
GP-0092,Google Play,1,"Aware Hidden charges, very high commission. in a equity trading 10-20rs for each buying. if you are planning to invest daily you will be charged 7000INR annually for single stock. but I have been using this app since 2022 but now I am realising. i never use this app again.",2026-08-05,Google Play Store
GP-0093,Google Play,1,"Brother, this is a very bad app. It calls and later deducts a lot of tax. How does it make it go away? First time it will show the property once or twice and after that FIR will be lodged and gradually it will go into minus.",2026-08-03,Google Play Store
GP-0094,Google Play,1,one of the very worst experience of setting up account its nothing but a waste of time and efforts even after complaining to customer care regarding the issue of not being able to set up the account its of no use . I have got zero support from the groww team it just tests your patience. pathetic experience,2026-07-27,Google Play Store
GP-0095,Google Play,1,worst app. can't even just login due to error. even try again didn't work. how we r supposed to use it when it's experience is very poor. not even able to login so what expect next,2026-07-17,Google Play Store
GP-0096,Google Play,1,"custom support is not at all good, if you have an issue they won't be able to help you and they have a weird AI chatbot that will give you wrong answers to your question and if you ask a customer support person he will say sir that is just an AI",2026-07-31,Google Play Store
GP-0097,Google Play,1,"for every 2 or 3 months always asking plz plz update to latest version.Like this how many times will repeat,it's getting irritating and there is no storage also so plz think about this.ur app service is so good,but the above what I mentioned is not good",2026-08-03,Google Play Store
GP-0098,Google Play,1,Customer service is very poor they don't pick up the phone or cancel the sip has also taken penalty or you should extend the app time is also not getting updated,2026-08-03,Google Play Store
GP-0099,Google Play,1,"I had placed my order at 120 and after my order got executed, it disappeared from the chart and I was not able to find it in positions section or order sections. when my trade caused a net loss of 3000 then my postion appeared. who will be responsible for my loss. it was not my fault. after placing order i place tgt and SL on chart. but if I won't get to see my position then how I could manage my trade. I will put complaint on nse website. why I should take losses due to broker.",2026-07-21,Google Play Store
GP-0100,Google Play,1,"The Groww iPad app is not optimized for the iPad display. On an iPad 11th Gen, the app uses a phone-sized layout in landscape mode instead of utilizing the full screen. Please add proper iPad support and a responsive tablet interface.",2026-07-22,Google Play Store
GP-0101,Google Play,1,bad app .. Fraud app dont download app.. 1 tap exit me seedha 10 point kams meyexit krte h..chart me.manipulate karte hae.. they will automatically reduce your buying price and make huge loss in next day.. I don't know how they did it with retailers... I have facing many losses due to app glitch issue.. they don't give me any refund.. so I deleted this app... worst experience.. they vanish my 1 lakh rupees although I have screenshot of my payment but they didn't gave me refund..,2026-08-06,Google Play Store
GP-0102,Google Play,4,the app and the ui is absolutely good and the friendly help me to short and easy to handle but some concerns here sometime ui feel little bit lagy and slow to update price and chart overall I rate this 9.3 / 10,2026-07-29,Google Play Store
GP-0103,Google Play,3,currently I am experiencing too much off lags and loading scene while close and open time not sometimes it's regularly seeing same while trading it's need to be fast and easy,2026-08-03,Google Play Store
GP-0104,Google Play,2,not able to download reports at all and once touch on screen download goes away not able to see progress. no option to send reports to email,2026-07-20,Google Play Store
GP-0105,Google Play,5,"Actually this is a phenomenal App. Just like name Groww you can also grow by trading with this App. Good for beginners. Hey Groww team "" Can you just introduce AI in your app"" this will be very helpful for most of us.",2026-08-08,Google Play Store
GP-0106,Google Play,2,After a new update ! the first candle shows opposite colour of the direction! on every timeframe which is confusing the direction and trade plans . planning to switch trading app !,2026-08-07,Google Play Store
GP-0107,Google Play,5,it's the best platform i have used to invest in stock. better user friendly dashboard and easy interface to understand the things.,2026-08-05,Google Play Store
GP-0108,Google Play,5,"I have had a great experience with the Groww app. The interface is simple, user-friendly, and easy to navigate. Investing and managing investments is very convenient, and the app provides useful information in a clear way. Overall, I am satisfied with the experience and would recommend Groww to others.",2026-08-08,Google Play Store
GP-0109,Google Play,1,"The Worrest App for Trading. Except the Groww Management, Nobody can Grow. Complete Fraud in each and every aspect. If any one wants to lose money instantly, You are most welcome to use this app. Rest, Please avoid this app",2026-07-31,Google Play Store
GP-0110,Google Play,1,😂,2026-08-07,Google Play Store
GP-0111,Google Play,1,"app doesn't stay active in the background even after giving unrestricted battery usage , always goes to lock screen after latest updates... problem for options traders",2026-08-07,Google Play Store
GP-0112,Google Play,1,Withdrawal unsuccessful trying to get connect with an expert since last 24 hours no any response received from groww worst service ever i just want my money back as early as possible then i am going to uninstall this app,2026-08-06,Google Play Store
GP-0113,Google Play,1,"Dear Groww Team, I would like to share my feedback regarding your intraday brokerage charges. The brokerage on intraday trades is quite high, and in many cases it turns profitable trades into losses. This makes active trading difficult, especially for small traders. I request you to consider reducing the intraday brokerage charges or introducing a more affordable pricing plan. A lower brokerage structure would greatly benefit your users and encourage higher trading activity on your platform.",2026-08-01,Google Play Store
GP-0114,Google Play,1,"In F&O trading, exiting just because we feel like it or waiting to exit only at a specific amount is not a good strategy",2026-08-10,Google Play Store
GP-0115,Google Play,1,import of external funds not working properly. it's pop-up to mfcentral and sends an OTP option then no otp will be received at the registered mobile. kindly look into issue,2026-08-06,Google Play Store
GP-0116,Google Play,1,Worst customer service. At the beginning of groww 2 3 years back it was nice. now it is the worst. I am thinking to switch to other apps.,2026-08-02,Google Play Store
GP-0117,Google Play,4,Groww has added a lot of new feature/s in the application recently. Now add basket order option so I don't have to use different app (like 915).,2026-08-08,Google Play Store
GP-0118,Google Play,1,if you have any open positions that is the hell in this grow some times if you your wallet positive also i will take 24 to 48 hours to unblock pledge. some time errors in order placing mismatch amount. some times it is slow and unable to refresh properly,2026-07-16,Google Play Store
GP-0119,Google Play,5,"I've been using the Groww app for the last two years, and it's been an amazing experience. The app is fast, user-friendly, and packed with great features. I especially love the new split-screen feature for scalping in the latest update—it makes trading much more convenient. One suggestion: please add a stop-loss feature for scalping. That would make the trading experience even better, and in my opinion, no other trading app would be able to compete with Groww.",2026-07-27,Google Play Store
GP-0120,Google Play,1,"App interface is bad after this latest update. in mutual fund Dashboard section daily and overall profit were shown in Green Colour and Loss were Shown in Red Colour Font. Which was very convenient and clear. But after update Both Profit and Loss are showing in White colour font which is very confusing. Before this we were able to find profit and Loss very easily, only by seeing green & red colour. But not now. I request you to please Fix this issue as soon as possible.",2026-06-26,Google Play Store
